timecode,seconds,dur_ms,L_drop_dB,R_drop_dB,channels
00:41.305,41.305,81.0,-28.9,-28.5,both
02:00.505,120.505,30.0,-19.9,-37.9,asymmetric
02:19.396,139.396,11.0,-33.7,-31.8,both
02:37.775,157.775,16.0,-48.0,-22.6,asymmetric
02:57.071,177.071,13.0,-45.4,-21.1,asymmetric
03:00.655,180.655,6.0,-39.2,-27.9,both
03:54.703,234.703,7.0,-32.2,-37.1,both
04:01.402,241.402,11.0,-30.9,-25.8,both
04:15.450,255.45,12.0,-28.7,-28.5,both
04:22.340,262.34,8.0,-29.8,-32.3,both
06:01.786,361.786,53.0,-45.5,-26.9,both
06:37.039,397.039,80.0,-28.1,-26.4,both
09:52.261,592.261,41.0,-26.1,-27.0,both
10:06.661,606.661,26.0,-35.3,-25.3,both
10:16.549,616.549,15.0,-49.3,-36.7,both
11:16.869,676.869,6.0,-30.1,-32.2,both
12:02.938,722.938,110.0,-23.7,-30.0,asymmetric
12:16.677,736.677,12.0,-31.5,-35.5,both
14:17.306,857.306,5.0,-38.7,-37.1,both
15:25.626,925.626,6.0,-23.7,-28.5,asymmetric
15:47.525,947.525,42.0,-24.5,-34.0,asymmetric
17:01.274,1021.274,11.0,-35.4,-45.9,both
17:30.874,1050.874,67.0,-28.0,-21.5,asymmetric
18:16.560,1096.56,22.0,-28.7,-31.7,both
19:09.083,1149.083,24.0,-28.2,-37.7,both
19:26.171,1166.171,26.0,-21.5,-39.0,asymmetric
19:26.373,1166.373,7.0,-35.1,-32.4,both
22:06.213,1326.213,14.0,-28.2,-40.8,both
23:09.382,1389.382,17.0,-24.7,-33.7,asymmetric
23:15.824,1395.824,7.0,-25.5,-30.4,both
23:16.123,1396.123,14.0,-25.4,-27.3,both
24:31.035,1471.035,18.0,-31.7,-39.2,both
24:37.798,1477.798,11.0,-22.1,-45.1,asymmetric
25:46.779,1546.779,12.0,-21.0,-38.4,asymmetric
26:07.035,1567.035,22.0,-38.9,-23.8,asymmetric
26:07.643,1567.643,10.0,-29.6,-23.0,asymmetric
26:45.435,1605.435,12.0,-31.5,-32.8,both
26:45.660,1605.66,9.0,-30.2,-30.4,both
27:04.721,1624.721,29.0,-24.9,-52.0,asymmetric
27:27.889,1647.889,13.0,-49.6,-27.7,both
27:28.849,1648.849,7.0,-23.7,-32.3,asymmetric
27:54.268,1674.268,17.0,-41.1,-20.4,asymmetric
28:10.001,1690.001,22.0,-29.9,-39.1,both
28:14.919,1694.919,29.0,-26.8,-26.9,both
28:43.932,1723.932,54.0,-40.6,-30.5,both
28:49.703,1729.703,134.0,-23.9,-24.6,asymmetric
28:55.569,1735.569,33.0,-43.6,-34.2,both
29:04.892,1744.892,62.0,-41.6,-23.1,asymmetric
29:21.138,1761.138,26.0,-23.0,-45.3,asymmetric
29:32.103,1772.103,72.0,-28.5,-23.2,asymmetric
29:46.492,1786.492,63.0,-26.4,-27.7,both
29:55.708,1795.708,45.0,-32.0,-21.1,asymmetric
29:56.711,1796.711,3.0,-27.4,-28.2,both
30:09.746,1809.746,32.0,-21.7,-37.2,asymmetric
30:16.263,1816.263,39.0,-25.8,-24.5,asymmetric
30:51.751,1851.751,22.0,-28.9,-25.0,both
30:53.831,1853.831,85.0,-23.7,-33.8,asymmetric
32:34.120,1954.12,7.0,-26.3,-28.7,both
32:34.226,1954.226,47.0,-32.3,-24.4,asymmetric
33:24.968,2004.968,4.0,-24.4,-34.5,asymmetric
33:43.954,2023.954,28.0,-25.3,-35.7,both
33:44.296,2024.296,7.0,-25.4,-22.3,asymmetric
33:50.984,2030.984,7.0,-25.8,-32.6,both
33:54.920,2034.92,6.0,-28.4,-37.6,both
34:02.525,2042.525,39.0,-37.1,-38.2,both
34:39.987,2079.987,27.0,-30.0,-42.8,both
34:53.960,2093.96,6.0,-33.5,-42.4,both
34:54.995,2094.995,58.0,-33.6,-20.0,asymmetric
34:57.448,2097.448,39.0,-28.7,-22.0,asymmetric
35:39.069,2139.069,30.0,-24.2,-32.7,asymmetric
35:50.728,2150.728,21.0,-25.6,-44.4,both
36:12.659,2172.659,13.0,-35.1,-27.1,both
36:13.726,2173.726,14.0,-38.4,-22.3,asymmetric
36:59.912,2219.912,71.0,-23.9,-33.5,asymmetric
37:23.219,2243.219,22.0,-23.6,-36.2,asymmetric
37:46.835,2266.835,7.0,-28.0,-21.6,asymmetric
37:51.592,2271.592,29.0,-31.8,-25.0,both
38:05.022,2285.022,11.0,-23.4,-24.3,asymmetric
38:23.315,2303.315,20.0,-29.1,-36.3,both
38:43.059,2323.059,8.0,-32.1,-29.8,both
39:15.379,2355.379,20.0,-32.8,-22.5,asymmetric
39:22.131,2362.131,35.0,-24.9,-46.7,asymmetric
39:24.275,2364.275,26.0,-29.4,-21.7,asymmetric
39:30.675,2370.675,22.0,-39.9,-28.1,both
39:33.235,2373.235,21.0,-33.1,-35.5,both
39:36.073,2376.073,10.0,-33.5,-31.1,both
39:40.457,2380.457,45.0,-38.5,-21.7,asymmetric
39:42.676,2382.676,8.0,-41.7,-28.1,both
39:42.804,2382.804,9.0,-31.8,-24.5,asymmetric
39:49.385,2389.385,15.0,-42.5,-23.8,asymmetric
39:50.324,2390.324,26.0,-32.6,-34.0,both
39:52.489,2392.489,3.0,-33.1,-31.4,both
40:20.617,2420.617,38.0,-42.9,-21.9,asymmetric
40:24.916,2424.916,50.0,-24.8,-30.7,asymmetric
40:33.140,2433.14,22.0,-47.1,-21.1,asymmetric
40:54.473,2454.473,22.0,-20.8,-34.1,asymmetric
41:15.903,2475.903,5.0,-26.5,-44.6,both
41:22.836,2482.836,17.0,-36.7,-21.6,asymmetric
41:25.940,2485.94,49.0,-40.3,-20.7,asymmetric
41:43.434,2503.434,18.0,-49.9,-27.1,both
41:44.543,2504.543,18.0,-38.0,-33.8,both
41:50.741,2510.741,23.0,-33.0,-21.6,asymmetric
41:51.594,2511.594,15.0,-33.6,-25.5,both
41:52.522,2512.522,129.0,-32.7,-27.3,both
41:53.247,2513.247,90.0,-22.6,-37.5,asymmetric
42:00.565,2520.565,3.0,-28.2,-28.3,both
42:10.048,2530.048,44.0,-21.6,-26.0,asymmetric
42:13.034,2533.034,28.0,-27.4,-24.0,asymmetric
42:25.098,2545.098,54.0,-24.6,-40.2,asymmetric
42:31.733,2551.733,20.0,-34.0,-50.6,both
42:39.136,2559.136,32.0,-20.5,-54.2,asymmetric
42:46.666,2566.666,19.0,-28.0,-34.7,both
42:46.858,2566.858,38.0,-27.1,-27.9,both
42:52.341,2572.341,16.0,-27.6,-28.4,both
42:58.901,2578.901,32.0,-24.4,-42.6,asymmetric
42:59.861,2579.861,10.0,-24.0,-38.7,asymmetric
43:00.096,2580.096,45.0,-25.9,-39.0,both
43:01.184,2581.184,74.0,-37.6,-22.9,asymmetric
43:01.803,2581.803,92.0,-29.2,-33.1,both
43:01.952,2581.952,100.0,-30.7,-23.2,asymmetric
43:13.771,2593.771,6.0,-26.1,-32.3,both
43:15.253,2595.253,4.0,-32.7,-37.0,both
43:45.056,2625.056,38.0,-42.4,-27.9,both
43:45.579,2625.579,18.0,-43.9,-33.0,both
43:59.200,2639.2,6.0,-46.4,-29.9,both
44:02.166,2642.166,6.0,-20.4,-35.5,asymmetric
44:11.734,2651.734,115.0,-20.2,-35.5,asymmetric
44:15.371,2655.371,59.0,-34.9,-26.0,both
44:20.054,2660.054,98.0,-20.2,-40.9,asymmetric
44:29.110,2669.11,44.0,-38.5,-35.7,both
45:56.288,2756.288,68.0,-26.3,-25.3,both
46:21.963,2781.963,40.0,-26.6,-31.2,both
46:31.595,2791.595,14.0,-25.5,-38.2,both
46:32.790,2792.79,10.0,-39.6,-20.2,asymmetric
46:44.161,2804.161,24.0,-45.1,-29.5,both
46:45.387,2805.387,31.0,-22.5,-44.6,asymmetric
46:54.166,2814.166,27.0,-47.5,-28.1,both
46:54.454,2814.454,28.0,-39.7,-22.2,asymmetric
47:10.305,2830.305,5.0,-37.4,-28.5,both
